Algoritmo,Dimensao,Tempo
Quick1,10000,2
Quick2,10000,3
Merge,10000,7
Shell,10000,74
Insertion,10000,468
Bubble,10000,1072
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,7
Shell,10000,73
Insertion,10000,414
Bubble,10000,1038
QuickIn,10000,3
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,75
Insertion,10000,416
Bubble,10000,1050
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,75
Insertion,10000,411
Bubble,10000,1019
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,7
Shell,10000,78
Insertion,10000,417
Bubble,10000,1014
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,4
Merge,10000,6
Shell,10000,77
Insertion,10000,414
Bubble,10000,1022
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,75
Insertion,10000,413
Bubble,10000,1019
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,4
Merge,10000,7
Shell,10000,74
Insertion,10000,418
Bubble,10000,1019
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,3
Merge,10000,6
Shell,10000,76
Insertion,10000,421
Bubble,10000,1022
QuickIn,10000,3
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,74
Insertion,10000,425
Bubble,10000,1028
QuickIn,10000,3
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,76
Insertion,10000,411
Bubble,10000,1017
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,3
Merge,10000,7
Shell,10000,74
Insertion,10000,408
Bubble,10000,1017
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,74
Insertion,10000,418
Bubble,10000,1012
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,4
Merge,10000,7
Shell,10000,74
Insertion,10000,414
Bubble,10000,1023
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,4
Merge,10000,8
Shell,10000,77
Insertion,10000,423
Bubble,10000,1023
QuickIn,10000,3
Quick1,10000,2
Quick2,10000,3
Merge,10000,7
Shell,10000,76
Insertion,10000,407
Bubble,10000,1019
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,75
Insertion,10000,417
Bubble,10000,1032
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,8
Shell,10000,72
Insertion,10000,414
Bubble,10000,1036
QuickIn,10000,2
Quick1,10000,2
Quick2,10000,2
Merge,10000,6
Shell,10000,78
Insertion,10000,411
Bubble,10000,1020
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,15
Merge,50000,35
Shell,50000,1694
Insertion,50000,10494
Bubble,50000,23889
QuickIn,50000,17
Quick1,50000,15
Quick2,50000,14
Merge,50000,35
Shell,50000,1718
Insertion,50000,11221
Bubble,50000,22771
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,14
Merge,50000,34
Shell,50000,1713
Insertion,50000,10590
Bubble,50000,22859
QuickIn,50000,17
Quick1,50000,13
Quick2,50000,18
Merge,50000,33
Shell,50000,1693
Insertion,50000,10573
Bubble,50000,22848
QuickIn,50000,18
Quick1,50000,14
Quick2,50000,14
Merge,50000,36
Shell,50000,1716
Insertion,50000,10751
Bubble,50000,23800
QuickIn,50000,18
Quick1,50000,14
Quick2,50000,14
Merge,50000,34
Shell,50000,2137
Insertion,50000,11097
Bubble,50000,23092
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,14
Merge,50000,34
Shell,50000,1783
Insertion,50000,10557
Bubble,50000,23066
QuickIn,50000,16
Quick1,50000,14
Quick2,50000,14
Merge,50000,34
Shell,50000,1700
Insertion,50000,10826
Bubble,50000,23306
QuickIn,50000,16
Quick1,50000,14
Quick2,50000,15
Merge,50000,33
Shell,50000,1715
Insertion,50000,10558
Bubble,50000,22879
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,16
Merge,50000,35
Shell,50000,1739
Insertion,50000,10491
Bubble,50000,22934
QuickIn,50000,17
Quick1,50000,13
Quick2,50000,14
Merge,50000,33
Shell,50000,1717
Insertion,50000,10607
Bubble,50000,22967
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,13
Merge,50000,33
Shell,50000,1699
Insertion,50000,10503
Bubble,50000,22847
QuickIn,50000,16
Quick1,50000,13
Quick2,50000,17
Merge,50000,34
Shell,50000,1723
Insertion,50000,10597
Bubble,50000,22931
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,14
Merge,50000,35
Shell,50000,1695
Insertion,50000,10476
Bubble,50000,22894
QuickIn,50000,16
Quick1,50000,14
Quick2,50000,13
Merge,50000,37
Shell,50000,1737
Insertion,50000,10570
Bubble,50000,22950
QuickIn,50000,17
Quick1,50000,14
Quick2,50000,17
Merge,50000,36
Shell,50000,1770
Insertion,50000,10558
Bubble,50000,23087
QuickIn,50000,17
